DateTime;Ticker;Accion
2022-07-28 12:30;BTCUSDT;BUY;
2022-07-28 13:00;BTCUSDT;STRONG BUY;
2022-07-28 13:30;BTCUSDT;STRONG BUY;
2022-07-28 14:00;BTCUSDT;BUY;
2022-07-28 14:30;BTCUSDT;STRONG BUY;
2022-07-28 15:00;BTCUSDT;BUY;
2022-07-28 15:30;BTCUSDT;BUY;
2022-07-28 16:00;BTCUSDT;BUY;
2022-07-28 16:30;BTCUSDT;BUY;
2022-07-28 17:00;BTCUSDT;BUY;
2022-07-28 17:15;BTCUSDT;BUY;
2022-07-28 17:30;BTCUSDT;BUY;
2022-07-28 17:45;BTCUSDT;BUY;
2022-07-28 18:00;BTCUSDT;BUY;
2022-07-28 18:15;BTCUSDT;BUY;
2022-07-28 18:30;BTCUSDT;BUY;
2022-07-28 18:45;BTCUSDT;BUY;
2022-07-28 19:00;BTCUSDT;BUY;
2022-07-28 19:15;BTCUSDT;BUY;
2022-07-28 19:30;BTCUSDT;BUY;
2022-07-28 20:00;BTCUSDT;BUY;
2022-07-28 20:15;BTCUSDT;BUY;
2022-07-28 20:30;BTCUSDT;BUY;
2022-07-28 20:45;BTCUSDT;BUY;
2022-07-28 21:00;BTCUSDT;BUY;
2022-07-28 21:15;BTCUSDT;BUY;
2022-07-28 21:30;BTCUSDT;BUY;
