event;eventDate;tradeDate;orderType;qty;price;usd;tradeId;firstId;lastId;buyerId;sellerId;
aggTrade;16/07/2022 20:02:48;16/07/2022 20:02:48;Market;0.05000000;21272.68000000;1063.63;1261170047;1475897422;1475897422;;;
aggTrade;16/07/2022 20:02:49;16/07/2022 20:02:49;Market;0.08220000;21274.76000000;1748.79;1261170056;1475897432;1475897432;;;
aggTrade;16/07/2022 20:02:50;16/07/2022 20:02:50;Market;0.04804000;21275.04000000;1022.05;1261170077;1475897461;1475897463;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Limit;0.05000000;21275.62000000;1063.78;1261170082;1475897469;1475897469;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;0.06444000;21275.62000000;1371.00;1261170083;1475897470;1475897470;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;0.06444000;21275.39000000;1370.99;1261170086;1475897473;1475897473;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;0.05000000;21277.37000000;1063.87;1261170099;1475897488;1475897488;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;0.09458000;21277.37000000;2012.41;1261170100;1475897489;1475897489;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;1.00000000;21277.88000000;21277.88;1261170102;1475897492;1475897492;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;0.05000000;21277.55000000;1063.88;1261170104;1475897494;1475897494;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;0.05000000;21277.55000000;1063.88;1261170105;1475897495;1475897495;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Limit;0.08000000;21277.70000000;1702.22;1261170114;1475897504;1475897504;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;0.13000000;21278.39000000;2766.19;1261170119;1475897509;1475897509;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;0.06839000;21279.19000000;1455.28;1261170128;1475897519;1475897519;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;0.13722000;21279.30000000;2919.95;1261170130;1475897521;1475897522;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;0.08000000;21279.32000000;1702.35;1261170131;1475897523;1475897523;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;0.10000000;21279.68000000;2127.97;1261170132;1475897524;1475897524;;;
aggTrade;16/07/2022 20:02:51;16/07/2022 20:02:51;Market;0.08000000;21277.79000000;1702.22;1261170147;1475897541;1475897541;;;
aggTrade;16/07/2022 20:02:52;16/07/2022 20:02:52;Market;0.08345000;21279.18000000;1775.75;1261170149;1475897543;1475897544;;;
aggTrade;16/07/2022 20:02:52;16/07/2022 20:02:52;Market;0.08720000;21279.24000000;1855.55;1261170151;1475897546;1475897546;;;
aggTrade;16/07/2022 20:02:52;16/07/2022 20:02:52;Market;0.08000000;21279.28000000;1702.34;1261170164;1475897560;1475897560;;;
aggTrade;16/07/2022 20:02:52;16/07/2022 20:02:52;Market;0.05000000;21279.28000000;1063.96;1261170175;1475897575;1475897575;;;
aggTrade;16/07/2022 20:02:53;16/07/2022 20:02:53;Limit;0.10000000;21278.73000000;2127.87;1261170185;1475897587;1475897587;;;
aggTrade;16/07/2022 20:02:53;16/07/2022 20:02:53;Limit;0.08000000;21279.36000000;1702.35;1261170194;1475897597;1475897597;;;
aggTrade;16/07/2022 20:02:54;16/07/2022 20:02:54;Limit;0.08000000;21278.85000000;1702.31;1261170216;1475897628;1475897628;;;
aggTrade;16/07/2022 20:02:57;16/07/2022 20:02:57;Limit;0.04702000;21277.57000000;1000.47;1261170273;1475897705;1475897705;;;
aggTrade;16/07/2022 20:02:57;16/07/2022 20:02:57;Limit;0.04701000;21277.57000000;1000.26;1261170274;1475897706;1475897706;;;
aggTrade;16/07/2022 20:02:57;16/07/2022 20:02:57;Limit;0.04701000;21277.56000000;1000.26;1261170275;1475897707;1475897707;;;
